Timestamp,Temperature (°C),Relative Humidity (%)
2024-07-01 00:00,19.6925,55.865
2024-07-01 00:15,19.305,57.33
2024-07-01 00:30,19.17,58.3175
2024-07-01 00:45,19.02,58.445
2024-07-01 01:00,18.6225,60.22
2024-07-01 01:15,18.445,61.065
2024-07-01 01:30,18.39,61.5125
2024-07-01 01:45,18.125,61.9675
2024-07-01 02:00,18.0725,62.0875
2024-07-01 02:15,17.9575,62.5175
2024-07-01 02:30,17.92,62.255
2024-07-01 02:45,18.0,62.22
2024-07-01 03:00,17.8975,62.6025
2024-07-01 03:15,17.835,62.76
2024-07-01 03:30,17.755,62.83
2024-07-01 03:45,17.595,63.1
2024-07-01 04:00,17.5925,63.0975
2024-07-01 04:15,17.4575,63.5125
2024-07-01 04:30,17.3825,63.81
2024-07-01 04:45,17.2525,63.875
2024-07-01 05:00,17.1,64.43
2024-07-01 05:15,17.04,65.6425
2024-07-01 05:30,16.8625,64.8575
2024-07-01 05:45,16.415,66.0425
2024-07-01 06:00,16.3225,66.8425
2024-07-01 06:15,16.32,66.75
2024-07-01 06:30,16.3825,67.15
2024-07-01 06:45,16.97,66.39
2024-07-01 07:00,17.8375,64.3275
2024-07-01 07:15,18.7325,62.24
2024-07-01 07:30,19.625,60.3175
2024-07-01 07:45,20.24,58.6775
2024-07-01 08:00,21.07,56.1625
2024-07-01 08:15,21.52,55.56
2024-07-01 08:30,22.435,52.9325
2024-07-01 08:45,24.09,49.4025
2024-07-01 09:00,25.25,46.98
2024-07-01 09:15,26.7975,42.7775
2024-07-01 09:30,27.85,41.5575
2024-07-01 09:45,28.27,39.585
2024-07-01 10:00,28.92,38.405
2024-07-01 10:15,29.5525,38.5175
2024-07-01 10:30,30.215,37.6375
2024-07-01 10:45,30.525,36.8775
2024-07-01 11:00,31.0875,35.74
2024-07-01 11:15,31.295,34.495
2024-07-01 11:30,31.535,33.335
2024-07-01 11:45,32.47,32.5225
2024-07-01 12:00,32.995,31.8125
2024-07-01 12:15,33.4825,31.41
2024-07-01 12:30,33.6,30.775
2024-07-01 12:45,33.33,30.535
2024-07-01 13:00,33.9125,30.72
2024-07-01 13:15,34.4025,29.955
2024-07-01 13:30,34.7925,29.045
2024-07-01 13:45,35.16,28.505
2024-07-01 14:00,36.0075,28.6075
2024-07-01 14:15,36.335,28.8525
2024-07-01 14:30,37.0575,26.8725
2024-07-01 14:45,38.1675,25.795
2024-07-01 15:00,38.255,25.0225
2024-07-01 15:15,37.89,23.5325
2024-07-01 15:30,38.9425,21.28
2024-07-01 15:45,38.9575,20.9825
2024-07-01 16:00,39.3925,20.43
2024-07-01 16:15,39.395,21.0
2024-07-01 16:30,38.5775,21.775
2024-07-01 16:45,38.7875,22.1625
2024-07-01 17:00,38.6875,21.8925
2024-07-01 17:15,39.0425,21.3325
2024-07-01 17:30,37.735,21.6275
2024-07-01 17:45,37.3675,21.6525
2024-07-01 18:00,36.9625,21.95
2024-07-01 18:15,36.6075,21.93
2024-07-01 18:30,36.2125,22.3975
2024-07-01 18:45,35.55,22.91
2024-07-01 19:00,35.0025,23.49
2024-07-01 19:15,34.6075,23.22
2024-07-01 19:30,33.8325,23.4375
2024-07-01 19:45,33.0025,23.6575
2024-07-01 20:00,32.2675,23.4875
2024-07-01 20:15,31.5275,22.97
2024-07-01 20:30,30.895,26.0425
2024-07-01 20:45,30.295,24.58
2024-07-01 21:00,29.72,25.08
2024-07-01 21:15,29.235,26.135
2024-07-01 21:30,28.78,25.8075
2024-07-01 21:45,28.2825,26.4
2024-07-01 22:00,27.885,26.76
2024-07-01 22:15,27.4775,26.8475
2024-07-01 22:30,27.11,28.1475
2024-07-01 22:45,26.5825,29.8575
2024-07-01 23:00,25.8875,31.185
2024-07-01 23:15,25.38,32.065
2024-07-01 23:30,24.84,33.0975
2024-07-01 23:45,24.4525,34.8175
2024-07-02 00:00,24.1625,34.8225
2024-07-02 00:15,23.4775,35.965
2024-07-02 00:30,23.0125,35.66
2024-07-02 00:45,22.6425,36.1025
2024-07-02 01:00,22.345,38.2175
2024-07-02 01:15,22.23,37.8525
2024-07-02 01:30,22.0325,39.295
2024-07-02 01:45,21.815,39.82
2024-07-02 02:00,21.46,41.71
2024-07-02 02:15,21.21,43.9625
2024-07-02 02:30,21.0675,41.2525
2024-07-02 02:45,20.9125,41.83
2024-07-02 03:00,20.515,42.3625
2024-07-02 03:15,20.26,43.265
2024-07-02 03:30,20.105,44.005
2024-07-02 03:45,20.02,44.2925
2024-07-02 04:00,19.84,45.19
2024-07-02 04:15,19.6675,46.0625
2024-07-02 04:30,19.57,46.2625
2024-07-02 04:45,19.3,47.4875
2024-07-02 05:00,19.21,48.005
2024-07-02 05:15,19.1825,48.365
2024-07-02 05:30,19.1375,48.945
2024-07-02 05:45,19.0275,49.42
2024-07-02 06:00,19.12,49.4775
2024-07-02 06:15,19.095,50.07
2024-07-02 06:30,19.1825,50.275
2024-07-02 06:45,19.5225,49.5525
2024-07-02 07:00,20.545,48.825
2024-07-02 07:15,21.4725,46.845
2024-07-02 07:30,22.535,45.1575
2024-07-02 07:45,23.54,43.4575
2024-07-02 08:00,24.775,42.315
2024-07-02 08:15,26.78,38.3175
2024-07-02 08:30,28.95,34.655
2024-07-02 08:45,31.4925,26.855
2024-07-02 09:00,32.925,24.7775
2024-07-02 09:15,33.595,23.73
2024-07-02 09:30,34.4875,22.7825
2024-07-02 09:45,34.845,22.9575
2024-07-02 10:00,35.1375,22.6
2024-07-02 10:15,35.295,22.495
2024-07-02 10:30,35.4875,22.3975
2024-07-02 10:45,35.1775,22.455
2024-07-02 11:00,35.7675,22.36
2024-07-02 11:15,36.1275,21.225
2024-07-02 11:30,36.2775,21.2175
2024-07-02 11:45,36.7475,21.4425
2024-07-02 12:00,37.215,21.01
2024-07-02 12:15,37.105,21.29
2024-07-02 12:30,37.3925,21.1925
2024-07-02 12:45,37.195,19.8775
2024-07-02 13:00,37.53,20.7025
2024-07-02 13:15,37.82,20.2575
2024-07-02 13:30,38.1775,19.29
2024-07-02 13:45,38.8675,19.425
2024-07-02 14:00,39.3775,18.7675
2024-07-02 14:15,39.925,18.1775
2024-07-02 14:30,40.475,17.7325
2024-07-02 14:45,41.1,17.3625
2024-07-02 15:00,41.7,16.405
2024-07-02 15:15,42.21,16.14
2024-07-02 15:30,42.67,15.9275
2024-07-02 15:45,43.3425,15.2725
2024-07-02 16:00,43.4475,16.07
2024-07-02 16:15,44.1925,15.65
2024-07-02 16:30,44.315,15.1675
2024-07-02 16:45,43.995,15.23
2024-07-02 17:00,44.215,15.415
2024-07-02 17:15,43.535,15.305
2024-07-02 17:30,42.8825,15.38
2024-07-02 17:45,42.845,16.0325
2024-07-02 18:00,42.465,15.865
2024-07-02 18:15,42.285,15.255
2024-07-02 18:30,41.9175,16.56
2024-07-02 18:45,40.41,18.215
2024-07-02 19:00,39.0525,18.265
2024-07-02 19:15,38.275,18.65
2024-07-02 19:30,37.345,19.3975
2024-07-02 19:45,36.2825,20.365
2024-07-02 20:00,35.51,21.185
2024-07-02 20:15,34.6425,21.57
2024-07-02 20:30,33.8575,22.175
2024-07-02 20:45,33.12,22.975
2024-07-02 21:00,32.38,23.5875
2024-07-02 21:15,31.48,24.3675
2024-07-02 21:30,31.1175,23.7025
2024-07-02 21:45,30.6325,23.9825
2024-07-02 22:00,30.24,24.1
2024-07-02 22:15,29.835,24.5275
2024-07-02 22:30,29.345,26.2625
2024-07-02 22:45,28.3775,27.645
2024-07-02 23:00,27.44,28.495
2024-07-02 23:15,27.01,28.7
2024-07-02 23:30,26.605,29.6875
2024-07-02 23:45,26.1075,31.21
2024-07-03 00:00,25.5775,32.4725
2024-07-03 00:15,25.2175,31.0
2024-07-03 00:30,24.815,31.22
2024-07-03 00:45,24.405,31.8425
2024-07-03 01:00,24.125,33.1975
2024-07-03 01:15,23.855,33.655
2024-07-03 01:30,23.6575,34.4475
2024-07-03 01:45,23.47,34.9725
2024-07-03 02:00,23.1725,36.2675
2024-07-03 02:15,23.0225,36.9725
2024-07-03 02:30,22.68,38.685
2024-07-03 02:45,22.545,38.4125
2024-07-03 03:00,22.345,39.9075
2024-07-03 03:15,22.22,39.38
2024-07-03 03:30,21.9525,40.005
2024-07-03 03:45,21.5375,41.3175
2024-07-03 04:00,21.3425,40.97
2024-07-03 04:15,21.345,40.82
2024-07-03 04:30,21.0975,41.59
2024-07-03 04:45,21.05,40.6875
2024-07-03 05:00,20.935,41.285
2024-07-03 05:15,20.745,42.21
2024-07-03 05:30,20.5425,43.465
2024-07-03 05:45,20.43,43.65
2024-07-03 06:00,20.8875,42.62
2024-07-03 06:15,21.8525,39.6575
2024-07-03 06:30,22.3375,38.4425
2024-07-03 06:45,23.3375,36.4975
2024-07-03 07:00,24.5825,34.9025
2024-07-03 07:15,26.1075,33.475
2024-07-03 07:30,27.385,33.6275
2024-07-03 07:45,28.9875,30.5025
2024-07-03 08:00,30.6025,27.2675
2024-07-03 08:15,32.345,21.77
2024-07-03 08:30,33.44,21.4575
2024-07-03 08:45,34.755,20.5225
2024-07-03 09:00,35.3725,18.955
2024-07-03 09:15,35.4975,19.1525
2024-07-03 09:30,36.495,18.9025
2024-07-03 09:45,36.565,19.1625
2024-07-03 10:00,36.7975,19.1075
2024-07-03 10:15,36.875,19.1175
2024-07-03 10:30,37.3125,18.8375
2024-07-03 10:45,37.975,18.5375
2024-07-03 11:00,37.6675,19.2375
2024-07-03 11:15,37.8425,18.795
2024-07-03 11:30,37.96,19.2125
2024-07-03 11:45,38.585,18.0675
2024-07-03 12:00,38.3525,18.2175
2024-07-03 12:15,38.5575,17.3275
2024-07-03 12:30,38.775,17.83
2024-07-03 12:45,38.13,17.3075
2024-07-03 13:00,38.785,17.505
2024-07-03 13:15,39.1775,16.2525
2024-07-03 13:30,39.8325,16.2275
2024-07-03 13:45,40.095,16.485
2024-07-03 14:00,40.3425,15.31
2024-07-03 14:15,41.1,15.89
2024-07-03 14:30,41.955,15.035
2024-07-03 14:45,42.6,13.3875
2024-07-03 15:00,43.2075,14.16
2024-07-03 15:15,43.365,13.3325
2024-07-03 15:30,44.4225,13.4175
2024-07-03 15:45,44.965,13.145
2024-07-03 16:00,45.8875,12.465
2024-07-03 16:15,46.13,12.845
2024-07-03 16:30,46.195,12.7325
2024-07-03 16:45,46.3125,13.1625
2024-07-03 17:00,45.4075,13.54
2024-07-03 17:15,45.2275,13.14
2024-07-03 17:30,44.86,13.485
2024-07-03 17:45,44.86,14.0625
2024-07-03 18:00,44.3125,14.59
2024-07-03 18:15,43.305,15.64
2024-07-03 18:30,42.095,16.5
2024-07-03 18:45,40.7675,16.6375
2024-07-03 19:00,39.995,16.91
2024-07-03 19:15,39.33,17.525
2024-07-03 19:30,38.12,17.79
2024-07-03 19:45,36.795,18.6925
2024-07-03 20:00,35.75,19.9325
2024-07-03 20:15,34.77,21.115
2024-07-03 20:30,33.9,21.7175
2024-07-03 20:45,32.87,22.68
2024-07-03 21:00,32.1675,23.54
2024-07-03 21:15,31.4125,24.29
2024-07-03 21:30,31.07,24.645
2024-07-03 21:45,30.7275,25.1475
2024-07-03 22:00,30.4,25.355
2024-07-03 22:15,30.22,25.92
2024-07-03 22:30,29.9375,26.785
2024-07-03 22:45,29.6275,27.69
2024-07-03 23:00,29.3,28.495
2024-07-03 23:15,28.96,29.245
2024-07-03 23:30,28.795,28.795
2024-07-03 23:45,28.3875,29.83
2024-07-04 00:00,28.04,31.855
2024-07-04 00:15,27.55,32.4375
2024-07-04 00:30,27.1925,33.73
2024-07-04 00:45,26.7225,34.245
2024-07-04 01:00,26.2925,34.345
2024-07-04 01:15,25.8625,33.435
2024-07-04 01:30,25.6225,34.1275
2024-07-04 01:45,25.205,35.0825
2024-07-04 02:00,24.91,35.305
2024-07-04 02:15,24.6875,36.2825
2024-07-04 02:30,24.58,37.0525
2024-07-04 02:45,24.505,36.79
2024-07-04 03:00,24.0825,37.9525
2024-07-04 03:15,23.545,38.75
2024-07-04 03:30,22.8875,39.025
2024-07-04 03:45,22.5775,40.39
2024-07-04 04:00,22.3075,41.21
2024-07-04 04:15,22.215,41.26
2024-07-04 04:30,22.1175,41.7075
2024-07-04 04:45,22.07,42.9175
2024-07-04 05:00,22.175,46.3625
2024-07-04 05:15,22.1675,47.275
2024-07-04 05:30,21.98,46.9575
2024-07-04 05:45,21.815,47.665
2024-07-04 06:00,21.4225,47.855
2024-07-04 06:15,21.445,50.355
2024-07-04 06:30,21.5525,50.69
2024-07-04 06:45,21.7225,49.3475
2024-07-04 07:00,22.3075,49.315
2024-07-04 07:15,23.4275,46.5525
2024-07-04 07:30,24.2225,44.63
2024-07-04 07:45,25.04,43.8225
2024-07-04 08:00,25.9725,42.32
2024-07-04 08:15,26.8675,41.2475
2024-07-04 08:30,27.7,39.9325
2024-07-04 08:45,28.8,38.9175
2024-07-04 09:00,30.17,36.6975
2024-07-04 09:15,31.295,34.0875
2024-07-04 09:30,32.4375,32.7775
2024-07-04 09:45,33.495,31.3475
2024-07-04 10:00,33.865,30.06
2024-07-04 10:15,33.65,30.065
2024-07-04 10:30,34.0225,29.72
2024-07-04 10:45,34.275,28.9825
2024-07-04 11:00,34.235,28.915
2024-07-04 11:15,34.685,28.9275
2024-07-04 11:30,35.005,26.975
2024-07-04 11:45,35.705,27.97
2024-07-04 12:00,36.0175,25.265
2024-07-04 12:15,36.2975,24.1375
2024-07-04 12:30,36.735,23.38
2024-07-04 12:45,37.0825,22.645
2024-07-04 13:00,37.4325,22.52
2024-07-04 13:15,37.9325,21.2975
2024-07-04 13:30,38.3925,20.9225
2024-07-04 13:45,38.59,21.395
2024-07-04 14:00,39.0825,21.88
2024-07-04 14:15,39.93,20.8725
2024-07-04 14:30,40.09,21.6975
